Proteins,regulator,"Genes of polypeptide, complex, or RNA",Bnb,Gene,Category,Regulated,Regulated_Bnb,Inhibited,Inhibited_Bnb,Activated,Activated_Bnb
DNA-binding transcriptional repressor MprA,MprA,mprA,b2684,mprA,TF,"acrA,acrB,nmpC,mprA,emrA,emrB","b0463,b0462,b0553,b2684,b2685,b2686","acrA,acrB,nmpC,mprA,emrA,emrB","b0463,b0462,b0553,b2684,b2685,b2686",,
DNA-binding transcriptional dual regulator HprR-phosphorylated,HprR,hprR,b1969,hprR,TF,"cyoE,cyoD,cyoC,cyoB,cyoA,cusA,cusB,cusF,cusC,cusS,cusR,hiuH","b0428,b0429,b0430,b0431,b0432,b0575,b0574,b0573,b0572,b0570,b0571,b1970","cyoE,cyoD,cyoC,cyoB,cyoA","b0428,b0429,b0430,b0431,b0432","cusA,cusB,cusF,cusC,cusS,cusR,hiuH","b0575,b0574,b0573,b0572,b0570,b0571,b1970"
OmpR dimer,OmpR,ompR,b3405,ompR,TF,"cadC,cadA,cadB,speFL,potE,speF","b4133,b4131,b4132,b4803,b0692,b0693","cadC,cadA,cadB,speFL,potE,speF,lpp,pgaD,pgaC,pgaB,pgaA,ecnB,ompF,sra,flhC,flhD,nmpC,bolA,fadL","b4133,b4131,b4132,b4803,b0692,b0693,b1677,b1021,b1022,b1023,b1024,b4411,b0929,b1480,b1891,b1892,b0553,b0435,b2344","feoC,feoA,feoB,tsgA,tolC,sstT,rob,rhtA,pdhR,ompX,narU,gmhA,fadE,acrR,ompC,omrB,omrA,dtpA,csgG,csgF,csgE,csgD,micF,ompF","b3410,b3408,b3409,b3364,b3035,b3089,b4396,b0813,b0113,b0814,b1469,b0222,b0221,b0464,b2215,b4445,b4444,b1634,b1037,b1038,b1039,b1040,b4439,b0929"
DNA-binding transcriptional dual regulator ArcA-phosphorylated,ArcA,arcA,b4401,arcA,TF,"yhgE,yhjE,kgtP,yfiF,ndk,mqo,ynaJ,dsbB,igaA,pyrS,yncE,yncD,yjiR,yigI,yieE,yejG,yeiQ,ydgC,ybiU,ybfA,xthA,thrA,thiC,sthA,sstT,rstA,rho,putP,putA,potF,pntA,pldA,phoH,pepN,osmY,nupC,nudE,msrB,micF,manA,kdpA,glpE,glcC,gcvB,folE,feoA,dppA,dcuB,dcuA,cycA,glaH,carA,argT,argR,arcA,acpP,pncB,cydC,cydD,rmf,rsd,appY,ompW,gadF,gadE,dpiA,dpiB,citC,citD,citE,citF,citX,citG,arcZ,fadH,iraM,ybdN,puuE,puuB,puuC,puuR,puuD,ymjE,puuP,puuA,grcA,ptsG,ydeA,dcuC,rutA,rutB,rutC,rutD,rutE,rutF,rutG,fadJ,fadI,ubiC,ubiA,aceF,aceE,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ,ackA,cadA,cadB,glcA,glcB,glcG,glcF,glcE,glcD,aldA,treC,treB,lpd,sroD,fadD,mdh,icd,gltA,fumC,fumA,sdhX,sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,cyoE,cyoD,cyoC,cyoB,cyoA,prmC,prfA,hemA,fumB,ndh,gatD,gatC,gatB,gatA,gatZ,gatY,caiE,caiD,caiC,caiB,caiA,caiT,nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA,rpoS,oppA,oppB,oppC,oppD,oppF,uvrA,ssb,sodA,appX,appC,appB,appA,betT,betA,betB,betI,fadE,rhaT,dctA,moeB,moeA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,pflB,focA,tpx,lldD,lldR,lldP,hybO,hybG,hybF,hybE,hybD,hybC,hybB,hybA,cydB,cydA,xylR,gadX,gadA,acnB,acnA,aceB,aceA,aceK,glpD,glpA,glpB,glpC,fnr,fadL,fadA,fadB","b3402,b3523,b2587,b2581,b2518,b2210,b1332,b1185,b3398,b2380,b1452,b1451,b4340,b3820,b3712,b2181,b2172,b1607,b0821,b0699,b1749,b0002,b3994,b3962,b3089,b1608,b3783,b1015,b1014,b0854,b1603,b3821,b1020,b0932,b4376,b2393,b3397,b1778,b4439,b1613,b0698,b3425,b2980,b4443,b2153,b3408,b3544,b4123,b4138,b4208,b2659,b0032,b2310,b3237,b4401,b1094,b0931,b0886,b0887,b0953,b3995,b0564,b1256,b4718,b3512,b0620,b0619,b0618,b0617,b0616,b0615,b0614,b0613,b4450,b3081,b1160,b0602,b1302,b1301,b1300,b1299,b1298,b4742,b1296,b1297,b2579,b1101,b1528,b0621,b1012,b1011,b1010,b1009,b1008,b1007,b1006,b2341,b2342,b4039,b4040,b0115,b0114,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b2296,b4131,b4132,b2975,b2976,b2977,b4467,b4468,b2979,b1415,b4239,b4240,b0116,b1805,b3236,b1136,b0720,b1611,b1612,b4764,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0428,b0429,b0430,b0431,b0432,b1212,b1211,b1210,b4122,b1109,b2091,b2092,b2093,b2094,b2095,b2096,b0035,b0036,b0037,b0038,b0039,b0040,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2741,b1243,b1244,b1245,b1246,b1247,b4058,b4059,b3908,b4592,b0978,b0979,b0980,b0314,b0311,b0312,b0313,b0221,b3907,b3528,b0826,b0827,b0972,b0973,b0974,b0975,b0976,b0977,b0903,b0904,b1324,b3605,b3604,b3603,b2997,b2990,b2991,b2992,b2993,b2994,b2995,b2996,b0734,b0733,b3569,b3516,b3517,b0118,b1276,b4014,b4015,b4016,b3426,b2241,b2242,b2243,b1334,b2344,b3845,b3846","yhjE,kgtP,ndk,mqo,ynaJ,yncE,yncD,yjiR,yigI,yieE,yejG,yeiQ,ydgC,ybiU,xthA,thrA,thiC,sthA,putP,putA,potF,phoH,pepN,osmY,nudE,msrB,kdpA,glpE,glcC,folE,focA,feoA,cycA,glaH,argT,rmf,rsd,ompW,citC,citD,citE,citF,citX,citG,arcZ,fadH,puuE,puuB,puuC,puuR,puuD,ymjE,puuP,puuA,ptsG,ydeA,fadJ,fadI,ubiC,ubiA,aceF,aceE,rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ,cadA,cadB,glcA,glcB,glcG,glcF,glcE,glcD,aldA,lpd,sroD,fadD,mdh,icd,gltA,fumC,fumA,sdhX,sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,cyoE,cyoD,cyoC,cyoB,cyoA,ndh,gatD,gatC,gatB,gatA,gatZ,gatY,nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA,rpoS,oppA,oppB,oppC,oppD,oppF,uvrA,ssb,sodA,betT,betA,betB,betI,fadE,rhaT,dctA,tpx,lldD,lldR,lldP,hybO,hybG,hybF,hybE,hybD,hybC,hybB,hybA,acnB,acnA,aceB,aceA,aceK,glpD,glpA,glpB,glpC,fnr,fadL,fadA,fadB","b3523,b2587,b2518,b2210,b1332,b1452,b1451,b4340,b3820,b3712,b2181,b2172,b1607,b0821,b1749,b0002,b3994,b3962,b1015,b1014,b0854,b1020,b0932,b4376,b3397,b1778,b0698,b3425,b2980,b2153,b0904,b3408,b4208,b2659,b2310,b0953,b3995,b1256,b0618,b0617,b0616,b0615,b0614,b0613,b4450,b3081,b1302,b1301,b1300,b1299,b1298,b4742,b1296,b1297,b1101,b1528,b2341,b2342,b4039,b4040,b0115,b0114,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b4131,b4132,b2975,b2976,b2977,b4467,b4468,b2979,b1415,b0116,b1805,b3236,b1136,b0720,b1611,b1612,b4764,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0428,b0429,b0430,b0431,b0432,b1109,b2091,b2092,b2093,b2094,b2095,b2096,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2741,b1243,b1244,b1245,b1246,b1247,b4058,b4059,b3908,b0314,b0311,b0312,b0313,b0221,b3907,b3528,b1324,b3605,b3604,b3603,b2997,b2990,b2991,b2992,b2993,b2994,b2995,b2996,b0118,b1276,b4014,b4015,b4016,b3426,b2241,b2242,b2243,b1334,b2344,b3845,b3846","yhgE,yfiF,dsbB,igaA,pyrS,ybfA,sstT,rstA,rho,pntA,pldA,oppA,nupC,micF,manA,gcvB,dppA,dcuB,dcuA,carA,argR,arcA,acpP,pncB,cydC,cydD,appY,gadF,gadE,dpiA,dpiB,iraM,ybdN,grcA,dcuC,rutA,rutB,rutC,rutD,rutE,rutF,rutG,ackA,treC,treB,sdhX,sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,prmC,prfA,hemA,fumB,caiE,caiD,caiC,caiB,caiA,caiT,appX,appC,appB,appA,moeB,moeA,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,pflB,focA,cydB,cydA,xylR,gadX,gadA","b3402,b2581,b1185,b3398,b2380,b0699,b3089,b1608,b3783,b1603,b3821,b1243,b2393,b4439,b1613,b4443,b3544,b4123,b4138,b0032,b3237,b4401,b1094,b0931,b0886,b0887,b0564,b4718,b3512,b0620,b0619,b1160,b0602,b2579,b0621,b1012,b1011,b1010,b1009,b1008,b1007,b1006,b2296,b4239,b4240,b4764,b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b1212,b1211,b1210,b4122,b0035,b0036,b0037,b0038,b0039,b0040,b4592,b0978,b0979,b0980,b0826,b0827,b0972,b0973,b0974,b0975,b0976,b0977,b0903,b0904,b0734,b0733,b3569,b3516,b3517"
DNA binding transcriptional dual regulator RcdA,RcdA,rcdA,b0846,rcdA,TF,"rmf,rsd,yagK,ydeI,csgG,csgF,csgE,csgD,asr,bluF,sulA,ybjJ,ybjI,rcdA","b0953,b3995,b0277,b1536,b1037,b1038,b1039,b1040,b1597,b1163,b0958,b0845,b0844,b0846","yagK,sulA,ybjJ,ybjI","b0277,b0958,b0845,b0844","rmf,rsd,ydeI,csgG,csgF,csgE,csgD,asr,bluF,rcdA","b0953,b3995,b1536,b1037,b1038,b1039,b1040,b1597,b1163,b0846"
DNA-binding transcriptional repressor MarR,MarR,marR,b1530,marR,TF,"marR,marA,marB","b1530,b1531,b1532","marR,marA,marB","b1530,b1531,b1532",,
DNA-binding transcriptional repressor PaaX,PaaX,paaX,b1399,paaX,TF,"paaY,paaX,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,paaZ","b1400,b1399,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b1387","paaY,paaX,paaK,paaJ,paaI,paaH,paaG,paaF,paaE,paaD,paaC,paaB,paaA,paaZ","b1400,b1399,b1398,b1397,b1396,b1395,b1394,b1393,b1392,b1391,b1390,b1389,b1388,b1387",,
DNA-binding transcriptional activator ZraR-phosphorylated,ZraR,zraR,b4004,zraR,TF,"tnaB,tnaA,pnp,mdtL,yhdW,gadW,sspA,yhhY,rfaD,raiA,ssrA,rpoH,glnH,glnA,fliA,exuR,cpxP,acrE,yrdD,yjjY,cspB,zraR,zraS,zraP","b3709,b3708,b3164,b3710,b3268,b3515,b3229,b3441,b3619,b2597,b2621,b3461,b0811,b3870,b1922,b3094,b4484,b3265,b3283,b4402,b1557,b4004,b4003,b4002",,,"tnaB,tnaA,pnp,mdtL,yhdW,gadW,sspA,yhhY,rfaD,raiA,ssrA,rpoH,glnH,glnA,fliA,exuR,cpxP,acrE,yrdD,yjjY,cspB,zraR,zraS,zraP","b3709,b3708,b3164,b3710,b3268,b3515,b3229,b3441,b3619,b2597,b2621,b3461,b0811,b3870,b1922,b3094,b4484,b3265,b3283,b4402,b1557,b4004,b4003,b4002"
DNA-binding transcriptional regulator RstA-phosphorylated,RstA,rstA,b1608,rstA,TF,"narG,narH,narJ,narI,ompF,csgG,csgF,csgE,csgD,asr","b1224,b1225,b1226,b1227,b0929,b1037,b1038,b1039,b1040,b1597","ompF,csgG,csgF,csgE,csgD","b0929,b1037,b1038,b1039,b1040","narG,narH,narJ,narI,asr","b1224,b1225,b1226,b1227,b1597"
DNA-binding transcriptional activator GlrR-phosphorylated,GlrR,glrR,b2554,glrR,TF,"rseD,rseC,rseB,rseA,rpoE,glmY","b4725,b2570,b2571,b2572,b2573,b4441",,,"rseD,rseC,rseB,rseA,rpoE,glmY","b4725,b2570,b2571,b2572,b2573,b4441"
HypT-[Met-oxidized] DNA-binding transcriptional dual regulator,HypT,hypT,b4327,hypT,TF,"cysH,metQ,metI,metN,fecE,fecD,fecC,fecB,fecA,metL,metB,cydA,cydB","b2762,b0197,b0198,b0199,b4287,b4288,b4289,b4290,b4291,b3940,b3939,b0733,b0734","fecE,fecD,fecC,fecB,fecA","b4287,b4288,b4289,b4290,b4291","cysH,metQ,metI,metN,metL,metB,cydA,cydB","b2762,b0197,b0198,b0199,b3940,b3939,b0733,b0734"
DNA-binding transcriptional dual regulator NtrC-phosphorylated,NtrC,glnG,b3868,glnG,TF,"rseD,rseC,rseB,rseA,rpoE,patA,relA,astE,astB,astD,astA,astC,potF,potG,potH,potI,ddpF,ddpD,ddpC,ddpB,ddpA,ddpX,yhdZ,yhdY,yhdX,yhdW,yeaH,yeaG,hisP,hisM,hisQ,hisJ,argT,rutA,rutB,rutC,rutD,rutE,rutF,rutG,cbl,glnQ,glnP,glnH,nac,amtB,glnK,glnG,glnL,glnA","b4725,b2570,b2571,b2572,b2573,b3073,b2784,b1744,b1745,b1746,b1747,b1748,b0854,b0855,b0856,b0857,b1483,b1484,b1485,b1486,b1487,b1488,b3271,b3270,b3269,b3268,b1784,b1783,b2306,b2307,b2308,b2309,b2310,b1012,b1011,b1010,b1009,b1008,b1007,b1006,b1987,b0809,b0810,b0811,b1988,b0451,b0450,b3868,b3869,b3870","glnQ,glnP,glnH,glnG,glnL,glnA","b0809,b0810,b0811,b3868,b3869,b3870","rseD,rseC,rseB,rseA,rpoE,patA,relA,astE,astB,astD,astA,astC,potF,potG,potH,potI,ddpF,ddpD,ddpC,ddpB,ddpA,ddpX,yhdZ,yhdY,yhdX,yhdW,yeaH,yeaG,hisP,hisM,hisQ,hisJ,argT,rutA,rutB,rutC,rutD,rutE,rutF,rutG,cbl,glnG,glnL,glnA,glnQ,glnP,glnH,nac,amtB,glnK","b4725,b2570,b2571,b2572,b2573,b3073,b2784,b1744,b1745,b1746,b1747,b1748,b0854,b0855,b0856,b0857,b1483,b1484,b1485,b1486,b1487,b1488,b3271,b3270,b3269,b3268,b1784,b1783,b2306,b2307,b2308,b2309,b2310,b1012,b1011,b1010,b1009,b1008,b1007,b1006,b1987,b3868,b3869,b3870,b0809,b0810,b0811,b1988,b0451,b0450"
isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,AidB,aidB,b4187,aidB,TF,aidB,b4187,aidB,b4187,,
DNA-binding transcriptional activator YqhC,YqhC,yqhC,b3010,yqhC,TF,"dkgA,yqhD","b3012,b3011",,,"dkgA,yqhD","b3012,b3011"
DNA-binding transcriptional repressor ArsR,ArsR,arsR,b3501,arsR,TF,"arsR,arsB,arsC","b3501,b3502,b3503","arsR,arsB,arsC","b3501,b3502,b3503",,
DNA-binding transcriptional activator CusR-phosphorylated,CusR,cusR,b0571,cusR,TF,"cyoE,cyoD,cyoC,cyoB,cyoA,hiuH,cusA,cusB,cusF,cusC,cusS,cusR","b0428,b0429,b0430,b0431,b0432,b1970,b0575,b0574,b0573,b0572,b0570,b0571",,,"cyoE,cyoD,cyoC,cyoB,cyoA,hiuH,cusA,cusB,cusF,cusC,cusS,cusR","b0428,b0429,b0430,b0431,b0432,b1970,b0575,b0574,b0573,b0572,b0570,b0571"
DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor,DinJ-YafQ,"yafQ,dinJ","b0225,b0226","yafQ,dinJ",TF,"dinJ,yafQ,cspE","b0226,b0225,b0623","dinJ,yafQ,cspE","b0226,b0225,b0623",,
DNA-binding transcriptional activator AtoC-phosphorylated,AtoC,atoC,b2220,atoC,TF,"atoB,atoD,atoA,atoE","b2224,b2221,b2222,b2223",,,"atoB,atoD,atoA,atoE","b2224,b2221,b2222,b2223"
antitoxin/DNA-binding transcriptional repressor YefM,YefM,yefM,b2017,yefM,TF,"yefM,yoeB","b2017,b4539","yefM,yoeB","b2017,b4539",,
DNA-binding transcriptional repressor LexA,LexA,lexA,b4043,lexA,TF,"yoaA,recQ,recB,recD,ptrA,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL,ftsK,dinD,yebG,dinI,sbmC,hokE,cho,ybfE,dinJ,yafQ,yafP,yafO,yafN,dinB,symE,yehF,recN,tisB,ybiB,dinG,uvrC,uvrY,ruvB,ruvA,polB,dinQ,insK,ydjM,umuD,umuC,uvrD,uvrB,uvrA,sulA,ssb,recX,recA,rpsU,dnaG,rpoD,phr,lexA,dinF","b1808,b3822,b2820,b2819,b2821,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0890,b3645,b1848,b1061,b2009,b4415,b1741,b0685,b0226,b0225,b0234,b0233,b0232,b0231,b4347,b2115,b2616,b4618,b0800,b0799,b1913,b1914,b1860,b1861,b0060,b4613,b3558,b1728,b1183,b1184,b3813,b0779,b4058,b0958,b4059,b2698,b2699,b3065,b3066,b3067,b0708,b4043,b4044","yoaA,recQ,recB,recD,ptrA,lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL,ftsK,dinD,yebG,dinI,sbmC,hokE,cho,ybfE,dinJ,yafQ,yafP,yafO,yafN,dinB,symE,yehF,recN,tisB,ybiB,dinG,uvrC,uvrY,ruvB,ruvA,polB,dinQ,insK,ydjM,umuD,umuC,uvrD,uvrB,uvrA,sulA,ssb,recX,recA,rpsU,dnaG,rpoD,phr,lexA,dinF","b1808,b3822,b2820,b2819,b2821,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0890,b3645,b1848,b1061,b2009,b4415,b1741,b0685,b0226,b0225,b0234,b0233,b0232,b0231,b4347,b2115,b2616,b4618,b0800,b0799,b1913,b1914,b1860,b1861,b0060,b4613,b3558,b1728,b1183,b1184,b3813,b0779,b4058,b0958,b4059,b2698,b2699,b3065,b3066,b3067,b0708,b4043,b4044",,
DNA binding transcriptional dual regulator BolA-phosphorylated,BolA,bolA,b0435,bolA,TF,"fimH,csgG,csgF,csgE,csgD,csgA,dacC,ampC,mreD,mreC,mreB","b4320,b1037,b1038,b1039,b1040,b1042,b0839,b4150,b3249,b3250,b3251","dacC,ampC,mreD,mreC,mreB","b0839,b4150,b3249,b3250,b3251","fimH,csgG,csgF,csgE,csgD,csgA,dacC,ampC","b4320,b1037,b1038,b1039,b1040,b1042,b0839,b4150"
DNA-binding transcriptional dual regulator TorR-phosphorylated,TorR,torR,b0995,torR,TF,"slp,mdtF,mdtE,gadE,gadC,gadB,adiC,adiA,rpoS,gadX,gadA,yhiD,hdeB,hdeA,torC,torA,torD,tnaC,tnaA,tnaB","b3506,b3514,b3513,b3512,b1492,b1493,b4115,b4117,b2741,b3516,b3517,b3508,b3509,b3510,b0996,b0997,b0998,b3707,b3708,b3709","gadX,gadA,torR","b3516,b3517,b0995","gadA,slp,gadX,mdtF,mdtE,gadE,gadC,gadB,adiC,adiA,rpoS,yhiD,hdeB,hdeA,torC,torA,torD,tnaC,tnaA,tnaB","b3517,b3506,b3516,b3514,b3513,b3512,b1492,b1493,b4115,b4117,b2741,b3508,b3509,b3510,b0996,b0997,b0998,b3707,b3708,b3709"
DNA-binding transcriptional dual regulator ArgP,ArgP,argP,b2916,argP,TF,"asd,dapD,lysA,lysC,gdhA,lysP,dapB,recF,dnaN,dnaA,yfaE,nrdA,nrdB","b3433,b0166,b2838,b4024,b1761,b2156,b0031,b3700,b3701,b3702,b2236,b2234,b2235",argP,b2916,"asd,dapD,lysA,lysC,gdhA,lysP,dapB,recF,dnaN,dnaA,yfaE,nrdA,nrdB,argO","b3433,b0166,b2838,b4024,b1761,b2156,b0031,b3700,b3701,b3702,b2236,b2234,b2235,b2923"
Phosphorylated DNA-binding transcriptional dual regulator BtsR,BtsR,btsR,b2125,btsR,TF,"cspC,yobF,mdh,pdhR,aceE,aceF,lpd,btsT,csgG,csgF,csgE,csgD,csgC,csgB,csgA","b1823,b1824,b3236,b0113,b0114,b0115,b0116,b4354,b1037,b1038,b1039,b1040,b1043,b1041,b1042","cspC,yobF,mdh,pdhR,aceE,aceF,lpd,csgG,csgF,csgE,csgD,csgC,csgB,csgA","b1823,b1824,b3236,b0113,b0114,b0115,b0116,b1037,b1038,b1039,b1040,b1043,b1041,b1042",btsT,b4354
RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor,RelB-RelE,"relB,relE","b1564,b1563","relB,relE",TF,"hokD,relE,relB","b1562,b1563,b1564","hokD,relE,relB","b1562,b1563,b1564",,
DNA-binding transcriptional dual regulator NarP-phosphorylated,NarP,narP,b2193,narP,TF,"ydeP,ydhT,ydhU,ydhX,ydhW,ydhV,ydhY,ytfE,yeaR,yoaG,norW,norV,poxB,hcr,hcp,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,fdnG,fdnH,fdnI,fdhF,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF,nirB,nirD,nirC,cysG","b1501,b1669,b1670,b1671,b1672,b1673,b1674,b4209,b1797,b1796,b2711,b2710,b0871,b0872,b0873,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b1474,b1475,b1476,b4079,b0972,b0973,b0974,b0975,b0976,b0977,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b3365,b3366,b3367,b3368","ydeP,ydhT,ydhU,ydhX,ydhW,ydhV,ydhY,norW,norV,fdnG,fdnH,fdnI,hyaA,hyaB,hyaC,hyaD,hyaE,hyaF,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF","b1501,b1669,b1670,b1671,b1672,b1673,b1674,b2711,b2710,b1474,b1475,b1476,b0972,b0973,b0974,b0975,b0976,b0977,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208","ytfE,yeaR,yoaG,poxB,hcr,hcp,nrfA,nrfB,nrfC,nrfD,nrfE,nrfF,nrfG,fdhF,ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA,napC,napB,napH,napG,napA,napD,napF,nirB,nirD,nirC,cysG","b4209,b1797,b1796,b0871,b0872,b0873,b4070,b4071,b4072,b4073,b4074,b4075,b4076,b4079,b2194,b2195,b2196,b2197,b2198,b2199,b2200,b2201,b2202,b2203,b2204,b2205,b2206,b2207,b2208,b3365,b3366,b3367,b3368"
Rac prophage; DNA-binding transcriptional repressor RacR,RacR,racR,b1356,racR,TF,"rzpR,ydaW,ydaV,ydaU,ydaT,ydaS","b1362,b1361,b1360,b1359,b1358,b1357","rzpR,ydaW,ydaV,ydaU,ydaT,ydaS","b1362,b1361,b1360,b1359,b1358,b1357",,
DNA-binding transcriptional dual regulator OmpR-phosphorylated,OmpR,ompR,b3405,ompR,TF,"feoC,feoA,feoB,tsgA,tolC,sstT,rob,rhtA,pdhR,ompX,narU,lpp,gmhA,fadE,acrR,ompC,pgaD,pgaC,pgaB,pgaA,omrB,omrA,dtpA,ecnB,sra,flhC,flhD,csgG,csgF,csgE,csgD,micF,nmpC,bolA,ompF,fadL","b3410,b3408,b3409,b3364,b3035,b3089,b4396,b0813,b0113,b0814,b1469,b1677,b0222,b0221,b0464,b2215,b1021,b1022,b1023,b1024,b4445,b4444,b1634,b4411,b1480,b1891,b1892,b1037,b1038,b1039,b1040,b4439,b0553,b0435,b0929,b2344","cadC,cadA,cadB,speFL,potE,speF,lpp,pgaD,pgaC,pgaB,pgaA,ecnB,ompF,sra,flhC,flhD,nmpC,bolA,fadL","b4133,b4131,b4132,b4803,b0692,b0693,b1677,b1021,b1022,b1023,b1024,b4411,b0929,b1480,b1891,b1892,b0553,b0435,b2344","feoC,feoA,feoB,tsgA,tolC,sstT,rob,rhtA,pdhR,ompX,narU,gmhA,fadE,acrR,ompC,omrB,omrA,dtpA,csgG,csgF,csgE,csgD,micF,ompF","b3410,b3408,b3409,b3364,b3035,b3089,b4396,b0813,b0113,b0814,b1469,b0222,b0221,b0464,b2215,b4445,b4444,b1634,b1037,b1038,b1039,b1040,b4439,b0929"
DNA-binding transcriptional repressor LsrR,LsrR,lsrR,b1512,lsrR,TF,"lsrK,lsrR,tam,lsrG,lsrF,lsrB,lsrD,lsrC,lsrA","b1511,b1512,b1519,b1518,b1517,b1516,b1515,b1514,b1513","lsrK,lsrR,tam,lsrG,lsrF,lsrB,lsrD,lsrC,lsrA","b1511,b1512,b1519,b1518,b1517,b1516,b1515,b1514,b1513",,
DNA-binding transcriptional dual regulator CysB,CysB,cysB,b1275,cysB,TF,"tcyP,tcyJ,yciW,cysK,cysB","b1729,b1920,b1287,b2414,b1275","cysB,hslJ,ssuB,ssuC,ssuD,ssuA,ssuE","b1275,b1379,b0933,b0934,b0935,b0936,b0937","tcyP,tcyJ,yciW,cysK,cysM,cysA,cysW,cysU,cysP,ariR,yoaC,yfbR,dgcZ,ybdN,ygeH,cbl,cysH,cysI,cysJ,cysC,cysN,cysD,tauD,tauC,tauB,tauA","b1729,b1920,b1287,b2414,b2421,b2422,b2423,b2424,b2425,b1166,b1810,b2291,b1535,b0602,b2852,b1987,b2762,b2763,b2764,b2750,b2751,b2752,b0368,b0367,b0366,b0365"
DNA-binding transcriptional dual regulator/c-di-GMP phosphodiesterase PdeL,PdeL,pdeL,b0315,pdeL,TF,"rfe,fliK,fliJ,fliI,fliH,fliG,fliF,yghJ,pdeL","b3784,b1943,b1942,b1941,b1940,b1939,b1938,b4466,b0315","rfe,fliK,fliJ,fliI,fliH,fliG,fliF","b3784,b1943,b1942,b1941,b1940,b1939,b1938","yghJ,pdeL","b4466,b0315"
DNA-binding transcriptional dual regulator DpiA-phosphorylated,DpiA,dpiA,b0620,dpiA,TF,"appY,mdh,exuT,dpiA,dpiB,citC,citD,citE,citF,citX,citG","b0564,b3236,b3093,b0620,b0619,b0618,b0617,b0616,b0615,b0614,b0613",appY,b0564,"mdh,exuT,dpiA,dpiB,citC,citD,citE,citF,citX,citG","b3236,b3093,b0620,b0619,b0618,b0617,b0616,b0615,b0614,b0613"
